step,best_idx,offset,steer,free_ahead,speed
174,576,0.0667,0.0233,2.6309,1.0000
175,567,0.0500,0.0175,5.4894,2.8000
176,575,0.0648,0.0227,2.4630,1.0000
177,567,0.0500,0.0175,5.7323,2.8000
178,574,0.0630,0.0220,2.2860,1.0000
179,567,0.0500,0.0175,5.7290,2.8000
180,573,0.0611,0.0214,2.1215,1.0000
181,566,0.0481,0.0169,5.7209,2.8000
182,573,0.0611,0.0214,2.1145,1.0000
183,566,0.0481,0.0169,5.6572,2.8000
184,572,0.0593,0.0207,2.1086,1.0000
185,566,0.0481,0.0169,5.6495,2.8000
186,571,0.0574,0.0201,2.1037,1.0000
187,565,0.0463,0.0162,5.6067,2.8000
188,570,0.0556,0.0194,2.0997,1.0000
189,565,0.0463,0.0162,5.8551,2.8000
190,569,0.0537,0.0188,2.0968,1.0000
191,565,0.0463,0.0162,5.8373,2.8000
192,568,0.0519,0.0181,2.0949,1.0000
193,564,0.0444,0.0156,5.7982,2.8000
194,567,0.0500,0.0175,2.0939,1.0000
195,564,0.0444,0.0156,5.7426,2.8000
196,566,0.0481,0.0169,2.0940,1.0000
197,564,0.0444,0.0156,5.7268,2.8000
198,564,0.0444,0.0156,2.0950,1.0000
199,563,0.0426,0.0149,6.0722,4.0000
200,563,0.0426,0.0149,2.0972,1.0000
201,563,0.0426,0.0149,5.9820,2.8000
202,562,0.0407,0.0143,2.1005,1.0000
203,563,0.0426,0.0149,5.9712,2.8000
204,561,0.0389,0.0136,2.1049,1.0000
205,562,0.0407,0.0143,5.9377,2.8000
206,560,0.0370,0.0130,2.1101,1.0000
207,562,0.0407,0.0143,5.8976,2.8000
208,559,0.0352,0.0123,2.1163,1.0000
209,563,0.0426,0.0149,6.1507,4.0000
210,558,0.0333,0.0117,2.1237,1.0000
211,562,0.0407,0.0143,6.1769,4.0000
212,557,0.0315,0.0110,2.1324,1.0000
213,562,0.0407,0.0143,6.1114,4.0000
214,556,0.0296,0.0104,2.1424,1.0000
215,562,0.0407,0.0143,6.1075,4.0000
216,556,0.0296,0.0104,2.1538,1.0000
217,562,0.0407,0.0143,6.0306,4.0000
218,555,0.0278,0.0097,2.1664,1.0000
219,561,0.0389,0.0136,6.0067,4.0000
220,554,0.0259,0.0091,2.1802,1.0000
221,561,0.0389,0.0136,5.9867,2.8000
222,553,0.0241,0.0084,2.1948,1.0000
223,561,0.0389,0.0136,6.2417,4.0000
224,552,0.0222,0.0078,2.2101,1.0000
