"Step","dqn - train/reward_mean","dqn - train/reward_mean__MIN","dqn - train/reward_mean__MAX"
"104","-77.35765020483144","-77.35765020483144","-77.35765020483144"
"105","-76.78354262693756","-76.78354262693756","-76.78354262693756"
"106","-76.24261135543202","-76.24261135543202","-76.24261135543202"
"107","-76.57290042538632","-76.57290042538632","-76.57290042538632"
"108","-76.89073241691077","-76.89073241691077","-76.89073241691077"
"109","-77.34540208662365","-77.34540208662365","-77.34540208662365"
"110","-76.86282158400834","-76.86282158400834","-76.86282158400834"
"111","-77.22763636903808","-77.22763636903808","-77.22763636903808"
"112","-77.18410574133479","-77.18410574133479","-77.18410574133479"
"113","-77.18927967342519","-77.18927967342519","-77.18927967342519"
"114","-77.58386460096546","-77.58386460096546","-77.58386460096546"
"115","-77.91487211786182","-77.91487211786182","-77.91487211786182"
"116","-77.65775467799016","-77.65775467799016","-77.65775467799016"
"117","-77.69256839473702","-77.69256839473702","-77.69256839473702"
"118","-77.66890612804768","-77.66890612804768","-77.66890612804768"
"119","-77.57345570700214","-77.57345570700214","-77.57345570700214"
"120","-78.06039166202274","-78.06039166202274","-78.06039166202274"
"121","-77.69160606404738","-77.69160606404738","-77.69160606404738"
"122","-77.56218869082134","-77.56218869082134","-77.56218869082134"
"123","-77.55400578740489","-77.55400578740489","-77.55400578740489"
"124","-77.61438002339536","-77.61438002339536","-77.61438002339536"
"125","-77.36850760650792","-77.36850760650792","-77.36850760650792"
"126","-77.25003181650274","-77.25003181650274","-77.25003181650274"
"127","-77.6528318403798","-77.6528318403798","-77.6528318403798"
"128","-77.66413408252848","-77.66413408252848","-77.66413408252848"
"129","-77.59952923384","-77.59952923384","-77.59952923384"
"130","-76.92232132117701","-76.92232132117701","-76.92232132117701"
"131","-77.41062683644675","-77.41062683644675","-77.41062683644675"
"132","-77.45474122147512","-77.45474122147512","-77.45474122147512"
"133","-77.46471925572929","-77.46471925572929","-77.46471925572929"
"134","-77.86145481049054","-77.86145481049054","-77.86145481049054"
"135","-78.08291906643164","-78.08291906643164","-78.08291906643164"
"136","-78.04191010539857","-78.04191010539857","-78.04191010539857"
"137","-78.06444037438807","-78.06444037438807","-78.06444037438807"
"138","-77.7010541685528","-77.7010541685528","-77.7010541685528"
"139","-78.14911014301673","-78.14911014301673","-78.14911014301673"
"140","-78.09142704767612","-78.09142704767612","-78.09142704767612"
"141","-78.09252248301142","-78.09252248301142","-78.09252248301142"
"142","-78.087204793384","-78.087204793384","-78.087204793384"
"143","-77.81065329396603","-77.81065329396603","-77.81065329396603"
"144","-78.40685299730364","-78.40685299730364","-78.40685299730364"
"145","-78.00032476926658","-78.00032476926658","-78.00032476926658"
"146","-77.98563097089034","-77.98563097089034","-77.98563097089034"
"147","-77.47354076724005","-77.47354076724005","-77.47354076724005"
"148","-77.88866970782605","-77.88866970782605","-77.88866970782605"
"149","-78.48094480964326","-78.48094480964326","-78.48094480964326"
"150","-78.54483652610303","-78.54483652610303","-78.54483652610303"
"151","-78.96659605164517","-78.96659605164517","-78.96659605164517"
"152","-79.31196758831356","-79.31196758831356","-79.31196758831356"
"153","-79.24413322598178","-79.24413322598178","-79.24413322598178"
"154","-78.82028144151874","-78.82028144151874","-78.82028144151874"
"155","-79.20114772343513","-79.20114772343513","-79.20114772343513"
"156","-79.17674850100157","-79.17674850100157","-79.17674850100157"
"157","-79.16357630034413","-79.16357630034413","-79.16357630034413"
"158","-79.13289430893929","-79.13289430893929","-79.13289430893929"
"159","-79.48989163808496","-79.48989163808496","-79.48989163808496"
"160","-79.86371623293934","-79.86371623293934","-79.86371623293934"
"161","-79.68214313051664","-79.68214313051664","-79.68214313051664"
"162","-79.50167358570732","-79.50167358570732","-79.50167358570732"
