Frame,Sub Frame,"Position - Limo_04",,,"Rotation (Helical) - Limo_04",,
,,"TX","TY","TZ","RX","RY","RZ"
Frames,Frames,"mm","mm","mm","°","°","°"
183,0,"48.8983","26.3001","145.07","-2.69689e-05","-0.329605","180.636"
184,0,"48.893","26.1983","145.102","0.0410242","-0.224916","180.663"
185,0,"48.8624","26.2692","144.951","0.136621","-0.211611","180.661"
186,0,"48.9299","26.1086","145.143","-0.0103019","-0.112669","180.63"
187,0,"48.9197","26.26","145.071","0.00404338","-0.245534","180.641"
188,0,"48.9502","26.2008","145.141","-0.0309358","-0.16826","180.641"
189,0,"48.9033","26.2717","145.06","0.00223645","-0.275701","180.631"
190,0,"48.9364","26.1957","145.187","-0.0338257","-0.179255","180.687"
191,0,"48.8646","26.156","144.972","0.101868","-0.168538","180.628"
192,0,"48.9135","26.1838","145.135","-0.00896638","-0.466242","180.718"
193,0,"48.9136","26.197","145.039","-0.0289938","-0.272546","180.76"
194,0,"48.8958","26.3713","145.064","0.0764029","-0.424925","180.662"
195,0,"48.9745","25.8794","145.068","-0.0545185","0.0831187","180.679"
196,0,"48.9308","26.2167","145.182","-0.0348209","-0.168451","180.635"
197,0,"48.9014","26.3236","145.093","0.0214355","-0.402887","180.66"
198,0,"48.9287","26.3226","145.018","0.0250784","-0.381181","180.787"
199,0,"48.8638","26.2135","145.086","0.0334519","-0.26513","180.623"
200,0,"48.9075","26.0081","145.085","0.00219512","0.0268711","180.615"
201,0,"48.8467","26.2202","145.024","0.061583","-0.332126","180.623"
202,0,"48.891","26.2086","145.057","0.0424596","-0.254309","180.643"
203,0,"48.8694","26.2011","145.019","0.0850822","-0.296465","180.643"
204,0,"48.9301","26.2344","145.071","0.0435108","-0.171048","180.649"
205,0,"48.8675","26.2793","144.996","0.0798836","-0.280085","180.632"
206,0,"48.9917","26.1249","145.217","-0.0705503","-0.0494936","180.638"
207,0,"48.9528","26.1677","145.065","-0.00787798","-0.199728","180.768"
208,0,"48.9404","26.3063","145.121","0.0171803","-0.34732","180.651"
209,0,"48.8816","26.0344","144.962","0.0926937","-0.027093","180.621"
210,0,"48.9567","26.4575","145.292","-0.134306","-0.369932","180.681"
211,0,"48.887","26.2864","145.159","-0.0206247","-0.336715","180.633"
212,0,"48.8399","26.2741","144.964","0.0671808","-0.211735","180.658"
213,0,"48.9295","26.121","145.103","-0.0144978","-0.0596764","180.63"
214,0,"48.8998","26.212","145.046","0.0223185","-0.205363","180.636"
215,0,"48.8657","26.2434","145.117","0.04552","-0.319102","180.647"
216,0,"48.8636","26.3537","145.174","0.00600572","-0.238379","180.671"
217,0,"48.9442","26.2338","145.154","-0.0126859","-0.187663","180.67"
218,0,"48.9219","26.2246","145.034","-0.0289199","-0.363548","180.706"
219,0,"48.8391","26.2701","144.976","0.0889417","-0.0844908","180.699"
220,0,"48.9427","26.2179","145.214","-0.0676637","-0.163071","180.644"
221,0,"48.8674","26.3888","145.077","0.0418829","-0.351084","180.684"
222,0,"48.9268","26.1266","145.007","0.0658448","-0.121003","180.646"
223,0,"48.9587","26.0841","145.076","0.00808014","0.033173","180.648"
224,0,"48.873","26.2327","145.054","0.0126973","-0.28316","180.625"
225,0,"48.9072","26.1638","144.932","0.0256769","-0.230174","180.716"
226,0,"48.9148","26.2119","145.176","-0.0284899","-0.174262","180.652"
227,0,"48.8764","26.1553","145.049","0.103666","-0.0719282","180.659"
228,0,"48.8763","26.3608","145.061","0.0390547","-0.322235","180.678"
229,0,"48.9425","26.2611","145.133","-0.0627562","-0.433838","180.762"
230,0,"48.8497","26.4237","145.095","-0.00029699","-0.399867","180.679"
231,0,"48.9422","26.1387","145.075","0.0158856","-0.177351","180.628"
232,0,"48.9463","26.4286","145.312","-0.166334","-0.328059","180.696"
233,0,"48.9355","26.2603","145.18","-0.00646739","-0.250513","180.649"
234,0,"48.8908","26.1883","144.991","0.0142473","-0.22788","180.772"
235,0,"48.9222","26.2654","145.058","0.0785121","-0.287722","180.65"
236,0,"48.9266","26.1491","145.232","-0.0745153","-0.116708","180.627"
237,0,"48.9057","26.0157","144.993","0.0544795","0.0265743","180.593"
238,0,"48.9565","26.2684","145.197","-0.0796628","-0.185016","180.658"
239,0,"48.9291","26.2476","145.196","-0.036888","-0.22493","180.653"
240,0,"48.8847","26.2545","145.183","-0.0829536","-0.209755","180.607"
241,0,"48.882","26.5487","145.134","-0.0349786","-0.478442","180.692"
242,0,"48.8778","26.2539","144.992","0.0916822","-0.264575","180.67"
243,0,"48.9404","26.2811","145.25","-0.0620093","-0.302018","180.672"
244,0,"48.9121","26.2915","145.109","0.0141821","-0.346836","180.643"
245,0,"48.9279","26.4033","145.216","-0.0667443","-0.349379","180.67"
246,0,"48.9605","26.0857","144.976","-0.00283222","-0.217107","180.704"
247,0,"48.8488","26.3074","145.047","0.0503168","-0.241457","180.665"
248,0,"48.9857","26.2156","145.212","-0.055627","-0.339112","180.66"
249,0,"48.9446","26.0436","145.186","0.0272676","0.0384313","180.646"
250,0,"48.9197","26.264","145.206","-0.0308683","-0.332821","180.659"
251,0,"48.8597","26.3516","145.038","-0.00420634","-0.308822","180.677"
252,0,"48.908","26.1372","145.111","0.0162508","-0.128893","180.639"
253,0,"48.9868","26.2159","145.109","-0.0318906","-0.334859","180.763"
254,0,"48.9416","26.2935","145.181","-0.013944","-0.36666","180.668"
255,0,"48.9084","26.1935","145.108","0.00823689","-0.230384","180.621"
256,0,"48.8796","26.1434","144.998","0.0827885","-0.189416","180.628"
257,0,"48.888","26.4994","145.19","-0.00975021","-0.577283","180.694"
258,0,"48.9412","26.3156","145.128","0.0243161","-0.365627","180.672"
259,0,"48.8803","26.3908","145.076","0.0229897","-0.320587","180.692"
260,0,"48.974","26.0404","145.038","0.0175287","-0.14533","180.729"
261,0,"48.9339","26.3488","145.103","0.0220433","-0.44178","180.661"
262,0,"48.9763","26.1512","145.127","-0.0822613","-0.172219","180.719"
263,0,"48.9381","26.2181","145.172","0.0255071","-0.30054","180.652"
264,0,"48.8949","26.3334","145.157","-0.0214302","-0.330512","180.669"
265,0,"48.9614","26.175","145.03","-0.0339771","-0.270626","180.739"
266,0,"48.8811","26.3059","145.085","0.0258988","-0.395846","180.624"
267,0,"48.8848","26.2573","145.007","0.066988","-0.268158","180.651"
268,0,"49.0062","26.047","145.158","-0.0897921","-0.222826","180.728"
269,0,"48.9549","26.1342","145.245","-0.0914732","-0.164652","180.644"
270,0,"48.9285","26.2892","145.1","0.0267532","-0.376575","180.65"
271,0,"48.963","26.1426","145.08","-0.0142824","-0.114208","180.655"
272,0,"48.9377","26.1365","144.975","0.0137682","-0.22133","180.735"
273,0,"48.8678","26.1656","144.912","0.135148","-0.135203","180.672"
274,0,"48.8923","26.322","145.096","0.0487771","-0.327379","180.676"
275,0,"48.9351","26.2523","145.222","-0.0661461","-0.191126","180.64"
276,0,"48.8437","26.2985","145.007","0.0515378","-0.249718","180.675"
277,0,"48.9059","26.1032","145.119","-0.0445081","-0.0174455","180.619"
278,0,"48.9072","26.4366","145.179","-0.0597441","-0.412709","180.664"
279,0,"48.9484","26.1889","145.082","-0.0595768","-0.318101","180.726"
280,0,"48.8426","26.1446","144.957","0.0939226","-0.123778","180.63"
281,0,"48.9328","26.0546","145.092","-0.0443024","-0.160191","180.743"
282,0,"48.8849","26.4377","145.199","-0.0194911","-0.521747","180.682"
283,0,"48.8666","26.0135","144.862","0.0312017","-0.13211","180.66"
284,0,"48.9051","26.1279","145.112","0.0237256","-0.0396144","180.648"
285,0,"48.9159","26.2409","145.096","0.0211678","-0.220465","180.661"
286,0,"48.9621","25.985","145.219","-0.0512191","0.0288281","180.605"
287,0,"48.8603","26.2532","145.026","0.102306","-0.303395","180.632"
288,0,"48.8712","26.3639","145.009","0.0878133","-0.364874","180.669"
289,0,"48.9625","26.1418","145.065","-0.022719","-0.375988","180.733"
290,0,"48.8717","26.1269","145.074","0.00558581","-0.160529","180.599"
291,0,"48.8836","26.3642","145.046","0.0845747","-0.363033","180.69"
292,0,"48.868","26.2667","145.128","0.0137842","-0.353481","180.656"
293,0,"48.8788","26.3081","145.16","-0.000205888","-0.304156","180.652"
294,0,"48.8833","26.344","145.105","0.00862568","-0.217681","180.706"
295,0,"48.9602","26.1077","145.16","-0.0104386","-0.0524234","180.675"
296,0,"48.9992","26.0977","145.367","-0.136314","0.0591485","180.652"
297,0,"48.913","26.2618","145.116","0.0372944","-0.321211","180.655"
298,0,"48.9501","26.3956","145.019","0.00819357","-0.535195","180.76"
299,0,"48.9861","26.0376","145.272","-0.0316241","0.154952","180.661"
300,0,"48.894","26.021","144.94","0.0810681","-0.0728719","180.582"
301,0,"48.9271","26.3074","145.187","-0.0174707","-0.331326","180.677"
302,0,"48.8748","26.3794","145.042","0.0768125","-0.386271","180.695"
303,0,"48.8904","26.1247","145.06","0.0526056","-0.20435","180.62"
304,0,"48.855","26.312","145.02","0.0598776","-0.309234","180.657"
305,0,"48.9283","26.4196","145.234","-0.0862066","-0.477943","180.671"
306,0,"48.8514","26.1858","144.987","0.0487915","-0.204976","180.635"
307,0,"48.98","26.4371","145.21","-0.10614","-0.538812","180.775"
308,0,"48.9534","26.4324","145.214","-0.0762072","-0.431523","180.683"
309,0,"48.9066","26.3855","145.164","-0.00733116","-0.415241","180.669"
310,0,"48.9294","26.3014","145.064","0.0393119","-0.274518","180.659"
311,0,"48.8998","26.1536","145.029","0.0471898","-0.119986","180.637"
312,0,"48.9837","26.4108","145.183","-0.124975","-0.52111","180.764"
313,0,"48.8495","26.2376","144.932","0.121543","-0.152836","180.699"
314,0,"48.9733","26.345","145.204","-0.0522426","-0.297786","180.695"
315,0,"48.9646","26.4042","145.184","-0.0614851","-0.444229","180.662"
316,0,"48.9211","26.2295","145.041","0.0845489","-0.209038","180.654"
317,0,"48.9424","26.3344","145.283","-0.0887583","-0.27593","180.656"
318,0,"48.8995","26.4599","145.074","0.0124959","-0.612213","180.638"
319,0,"48.9048","26.0484","145.02","0.0501543","-0.0406941","180.638"
320,0,"48.8005","26.2411","144.98","0.0940643","-0.0570179","180.67"
321,0,"48.929","26.1939","145.157","-0.0785194","-0.107001","180.65"
322,0,"48.8938","26.4504","145.109","-0.0312661","-0.522938","180.777"
323,0,"48.9207","26.1351","145.225","-0.0888685","0.048754","180.66"
324,0,"49.0103","26.0962","145.242","-0.122527","-0.0148281","180.644"
325,0,"48.9053","26.151","145.009","0.000735734","-0.194463","180.615"
326,0,"48.8972","26.1904","144.968","0.0705077","-0.173786","180.633"
327,0,"48.9553","26.0876","145.009","-0.0392885","-0.169444","180.711"
328,0,"48.9209","26.0828","144.997","0.042685","-0.0973689","180.618"
329,0,"48.9761","26.3039","145.23","-0.115925","-0.255994","180.798"
330,0,"48.8885","26.19","145.047","0.0156097","-0.271136","180.647"
331,0,"48.9299","26.3948","145.192","-0.0279086","-0.456621","180.679"
332,0,"48.9423","26.3743","145.097","0.02627","-0.47846","180.66"
333,0,"48.8449","26.1848","144.906","0.102649","-0.141432","180.649"
334,0,"48.8855","26.4027","145.148","0.00622166","-0.437983","180.68"
335,0,"48.976","25.987","145.251","-0.0952609","0.132048","180.64"
336,0,"48.9503","26.1224","145.159","-0.0581495","-0.0765003","180.643"
337,0,"48.8437","26.1497","144.948","0.126503","-0.0795894","180.658"
338,0,"48.9496","26.1495","145.138","-0.037191","-0.158666","180.62"
339,0,"48.8817","26.3709","145.162","-0.00110226","-0.425868","180.644"
340,0,"48.8924","26.1581","145.096","-0.020956","-0.0420306","180.633"
341,0,"48.9605","26.3412","145.106","-0.000405854","-0.545395","180.658"
342,0,"48.8435","26.2862","144.952","0.124899","-0.213347","180.692"
343,0,"48.9167","26.3052","145.196","-0.0522586","-0.330353","180.657"
344,0,"48.915","26.2411","145.136","-0.014628","-0.267507","180.631"
345,0,"48.923","26.1027","145.253","-0.0687349","-0.0196258","180.636"
346,0,"48.8692","26.119","145.043","0.0685209","-0.149398","180.622"
347,0,"48.8425","26.3792","145.042","0.01465","-0.379464","180.666"
348,0,"48.9009","26.1535","145.082","0.00551011","-0.130997","180.61"
349,0,"48.8518","26.128","144.926","0.111674","-0.170066","180.601"
350,0,"48.9677","26.3275","145.063","-0.00854002","-0.519228","180.781"
351,0,"49.0143","26.0538","145.143","-0.087985","-0.055855","180.735"
352,0,"48.916","26.1","145.127","-0.0277307","-0.00152507","180.647"
353,0,"48.8978","26.4345","145.185","-0.0327868","-0.452382","180.643"
354,0,"48.8833","26.1517","145.085","0.0066575","-0.137147","180.607"
355,0,"48.8992","26.1588","145.038","0.0359372","-0.17743","180.627"
356,0,"48.8415","26.3117","145.049","0.0102661","-0.200813","180.649"
357,0,"48.9143","26.2132","145.098","0.00816361","-0.354938","180.633"
358,0,"48.9158","26.5035","145.219","-0.054695","-0.662904","180.68"
359,0,"48.8887","26.2386","145.043","0.0472909","-0.224391","180.632"
360,0,"48.9759","26.1383","145.078","-0.0436374","-0.259149","180.735"
361,0,"48.9281","26.1068","145.198","-0.0385737","0.139112","180.681"
362,0,"48.9062","26.1561","145.064","0.0633506","-0.182206","180.637"
363,0,"48.8896","26.2447","145.057","0.0324858","-0.281371","180.643"
364,0,"48.8829","26.2607","144.998","0.0545535","-0.248602","180.63"
365,0,"48.9305","26.3814","145.151","0.018239","-0.412475","180.686"
366,0,"48.9347","26.2617","145.12","-0.0121888","-0.262322","180.648"
367,0,"48.9464","26.2344","145.023","-0.00635467","-0.346845","180.747"
368,0,"48.9483","26.308","145.164","0.0294667","-0.35604","180.685"
369,0,"48.9791","26.1907","145.12","0.0336524","-0.160909","180.682"
370,0,"48.9585","26.0999","145.069","-0.0368674","-0.268739","180.715"
371,0,"48.9136","26.2378","145.09","-0.00989142","-0.248417","180.633"
372,0,"48.9087","26.3255","145.154","0.026918","-0.229929","180.691"
373,0,"48.9512","26.215","145.233","-0.0556007","-0.109557","180.657"
374,0,"48.8781","25.9319","144.883","0.063937","-0.0983663","180.672"
375,0,"48.9156","26.1956","145.029","0.0334357","-0.327346","180.621"
376,0,"48.9225","26.1405","145.03","-0.0323711","-0.262857","180.691"
377,0,"48.8881","25.866","144.959","0.0193324","0.25834","180.583"
378,0,"48.8729","26.4628","145.07","0.0519217","-0.375035","180.705"
379,0,"48.9326","26.1947","145.029","0.0890595","-0.191969","180.666"
