Frame,Sub Frame,"Position - Limo_02",,,"Position - Limo_04",,,"Rotation (Helical) - Limo_02",,,"Rotation (Helical) - Limo_04",,
,,"TX","TY","TZ","TX","TY","TZ","RX","RY","RZ","RX","RY","RZ"
Frames,Frames,"mm","mm","mm","mm","mm","mm","°","°","°","°","°","°"
106,0,"-824.105","-864.773","144.938","87.2735","29.7034","141.229","2.24097","-1.49442","183.607","2.42243","-2.03887","183.325"
107,0,"-824.042","-864.689","144.951","87.2275","29.6917","141.214","2.25025","-1.59333","183.621","2.40671","-2.05474","183.319"
108,0,"-824.121","-864.856","144.831","87.2036","29.6749","141.256","2.32836","-1.34656","183.569","2.34694","-2.00237","183.324"
109,0,"-823.997","-864.722","144.896","87.2498","29.8756","141.096","2.26077","-1.54127","183.591","2.4338","-2.3552","183.368"
110,0,"-823.968","-864.724","144.902","87.2686","29.983","141.089","2.24047","-1.47395","183.586","2.43548","-2.41242","183.381"
111,0,"-824.316","-865.368","144.597","87.2257","29.9052","141.113","2.4297","-0.657326","183.429","2.3972","-2.33585","183.382"
112,0,"-824.308","-865.332","144.615","87.2421","29.9275","141.095","2.42045","-0.648941","183.454","2.38952","-2.40319","183.399"
113,0,"-824.318","-865.334","144.604","87.2014","29.5943","141.237","2.41584","-0.634234","183.446","2.30319","-1.95542","183.306"
114,0,"-824.322","-865.348","144.592","87.2329","29.847","141.131","2.43697","-0.66358","183.445","2.39552","-2.26843","183.357"
115,0,"-824.357","-865.343","144.623","87.2353","29.6847","141.225","2.39537","-0.616985","183.45","2.3119","-2.04916","183.327"
116,0,"-824.361","-865.371","144.629","87.2328","29.8178","141.106","2.37644","-0.621371","183.424","2.39002","-2.27367","183.359"
117,0,"-824.371","-865.365","144.635","87.2398","29.8782","141.094","2.35812","-0.604181","183.433","2.40717","-2.33946","183.371"
118,0,"-824.361","-865.353","144.668","87.232","29.8288","141.145","2.35382","-0.594988","183.443","2.38294","-2.27081","183.352"
119,0,"-824.331","-865.336","144.632","87.2372","29.9085","141.094","2.36965","-0.60427","183.442","2.39782","-2.34861","183.386"
120,0,"-824.336","-865.353","144.634","87.2293","29.8551","141.131","2.37307","-0.624261","183.438","2.37829","-2.27042","183.371"
121,0,"-824.312","-865.336","144.611","87.1974","29.6405","141.243","2.4091","-0.660483","183.445","2.30811","-2.01826","183.303"
122,0,"-824.314","-865.356","144.626","87.207","29.6817","141.246","2.39754","-0.650212","183.435","2.30546","-2.03389","183.331"
123,0,"-824.319","-865.346","144.62","87.2285","29.9405","141.086","2.42136","-0.642269","183.441","2.40428","-2.36255","183.394"
124,0,"-824.309","-865.352","144.634","87.2124","29.8509","141.149","2.40905","-0.652856","183.44","2.3829","-2.27662","183.364"
125,0,"-824.321","-865.353","144.622","87.2591","29.9061","141.119","2.39743","-0.632984","183.441","2.37595","-2.29545","183.372"
126,0,"-824.325","-865.378","144.621","87.2297","29.8719","141.117","2.41762","-0.655319","183.424","2.38563","-2.3383","183.373"
127,0,"-824.325","-865.364","144.645","87.1976","29.6569","141.26","2.39157","-0.594284","183.428","2.30531","-1.985","183.321"
128,0,"-824.319","-865.356","144.617","87.2046","29.6585","141.247","2.42316","-0.674042","183.442","2.30686","-2.02317","183.321"
