"Step","sac - train/reward_mean","sac - train/reward_mean__MIN","sac - train/reward_mean__MAX"
"198","26.0022408327791","26.0022408327791","26.0022408327791"
"199","25.603297949781357","25.603297949781357","25.603297949781357"
"200","25.320958861097264","25.320958861097264","25.320958861097264"
"201","24.79623947446477","24.79623947446477","24.79623947446477"
"202","24.521721062713866","24.521721062713866","24.521721062713866"
"203","23.865222475233118","23.865222475233118","23.865222475233118"
"204","23.03114202712701","23.03114202712701","23.03114202712701"
"205","22.451239092955753","22.451239092955753","22.451239092955753"
"206","21.742879134405616","21.742879134405616","21.742879134405616"
"207","21.380281850501145","21.380281850501145","21.380281850501145"
"208","21.344449115455305","21.344449115455305","21.344449115455305"
"209","21.17829941803672","21.17829941803672","21.17829941803672"
"210","21.1030669614115","21.1030669614115","21.1030669614115"
"211","20.48193979100641","20.48193979100641","20.48193979100641"
"212","19.814544951518442","19.814544951518442","19.814544951518442"
"213","19.740760838191804","19.740760838191804","19.740760838191804"
"214","19.503880683060583","19.503880683060583","19.503880683060583"
"215","19.327508694711163","19.327508694711163","19.327508694711163"
"216","19.10419571773617","19.10419571773617","19.10419571773617"
"217","19.285229318714723","19.285229318714723","19.285229318714723"
"218","19.33967228558186","19.33967228558186","19.33967228558186"
"219","19.21223672484319","19.21223672484319","19.21223672484319"
"220","19.268424873659775","19.268424873659775","19.268424873659775"
"221","19.410442747586444","19.410442747586444","19.410442747586444"
"222","19.528960897383318","19.528960897383318","19.528960897383318"
"223","19.44638444898747","19.44638444898747","19.44638444898747"
"224","19.39760739178312","19.39760739178312","19.39760739178312"
"225","19.211653874646895","19.211653874646895","19.211653874646895"
"226","19.05667856012968","19.05667856012968","19.05667856012968"
"227","19.003042781913997","19.003042781913997","19.003042781913997"
"228","18.731727810909383","18.731727810909383","18.731727810909383"
"229","18.646660586052917","18.646660586052917","18.646660586052917"
"230","18.699881674721787","18.699881674721787","18.699881674721787"
"231","18.82321843266453","18.82321843266453","18.82321843266453"
"232","18.240605640355156","18.240605640355156","18.240605640355156"
"233","18.71954467423226","18.71954467423226","18.71954467423226"
"234","19.35121895924642","19.35121895924642","19.35121895924642"
"235","19.81478513877339","19.81478513877339","19.81478513877339"
"236","19.941739432573907","19.941739432573907","19.941739432573907"
"237","20.165837118491204","20.165837118491204","20.165837118491204"
"238","20.24087923342568","20.24087923342568","20.24087923342568"
"239","20.287336122288565","20.287336122288565","20.287336122288565"
"240","20.140517278452776","20.140517278452776","20.140517278452776"
"241","20.148767765061372","20.148767765061372","20.148767765061372"
"242","20.04641632167683","20.04641632167683","20.04641632167683"
"243","19.968160640189495","19.968160640189495","19.968160640189495"
"244","19.657547528093243","19.657547528093243","19.657547528093243"
"245","19.433955902582934","19.433955902582934","19.433955902582934"
"246","19.253672142655887","19.253672142655887","19.253672142655887"
"247","19.093855644940813","19.093855644940813","19.093855644940813"
"248","18.980625675509692","18.980625675509692","18.980625675509692"
"249","18.71201901839744","18.71201901839744","18.71201901839744"
"250","18.48462472759875","18.48462472759875","18.48462472759875"
"251","18.260000513865926","18.260000513865926","18.260000513865926"
"252","18.002258744299912","18.002258744299912","18.002258744299912"
"253","17.759308120651625","17.759308120651625","17.759308120651625"
"254","17.485728756910618","17.485728756910618","17.485728756910618"
"255","17.12140855585087","17.12140855585087","17.12140855585087"
"256","16.88163903620006","16.88163903620006","16.88163903620006"
"257","16.534274297540822","16.534274297540822","16.534274297540822"
"258","16.234985171043654","16.234985171043654","16.234985171043654"
"259","15.8673893341844","15.8673893341844","15.8673893341844"
"260","15.508099223598592","15.508099223598592","15.508099223598592"
"261","15.193057505859297","15.193057505859297","15.193057505859297"
