s_m,x_m,y_m,heading_rad,curvature_inv_m,width_m,left_width_m,right_width_m
1.800039073,2.689683328,0.210584603,-0.141596757,0.200797441,1.000000000,0.500000000,0.500000000
1.850040527,2.739219163,0.203776782,-0.131620635,0.198234180,1.000000000,0.500000000,0.500000000
1.900041980,2.788820043,0.197460289,-0.121768072,0.195855248,1.000000000,0.500000000,0.500000000
1.950043437,2.838480404,0.191629837,-0.112029943,0.193657017,1.000000000,0.500000000,0.500000000
2.000044899,2.888194899,0.186280519,-0.102397293,0.191636232,1.000000000,0.500000000,0.500000000
2.050046369,2.937958377,0.181407810,-0.092861320,0.189790016,1.000000000,0.500000000,0.500000000
2.100047851,2.987765866,0.177007558,-0.083413357,0.188115881,1.000000000,0.500000000,0.500000000
2.150049345,3.037612552,0.173075988,-0.074044853,0.186611734,1.000000000,0.500000000,0.500000000
2.200050853,3.087493768,0.169609695,-0.064747348,0.185275882,1.000000000,0.500000000,0.500000000
2.250052379,3.137404972,0.166605649,-0.055512460,0.184107045,1.000000000,0.500000000,0.500000000
2.300053923,3.187341733,0.164061189,-0.046331859,0.183104361,1.000000000,0.500000000,0.500000000
2.350055489,3.237299719,0.161974025,-0.037197247,0.182267398,1.000000000,0.500000000,0.500000000
2.400057080,3.287274676,0.160342243,-0.028100337,0.181596168,1.000000000,0.500000000,0.500000000
2.450058698,3.337262417,0.159164300,-0.019032829,0.181091134,1.000000000,0.500000000,0.500000000
2.500060347,3.387258807,0.158439032,-0.009986391,0.180753232,1.000000000,0.500000000,0.500000000
2.550062033,3.437259745,0.158165654,-0.000952627,0.180583883,1.000000000,0.500000000,0.500000000
2.600063760,3.487261155,0.158343767,0.008076939,0.180585011,1.000000000,0.500000000,0.500000000
2.650065535,3.537258966,0.158973360,0.017110893,0.180759068,1.000000000,0.500000000,0.500000000
2.700067366,3.587249100,0.160054817,0.026157959,0.181109055,1.000000000,0.500000000,0.500000000
2.750069262,3.637227457,0.161588928,0.035343911,0.186313937,1.000000000,0.500000000,0.500000000
2.800071183,3.687189378,0.163588569,0.044661826,0.186387283,1.000000000,0.500000000,0.500000000
2.850073058,3.737130447,0.166053747,0.053918621,0.183869416,1.000000000,0.500000000,0.500000000
2.900074851,3.787046660,0.168977960,0.063141457,0.185029488,1.000000000,0.500000000,0.500000000
2.950076568,3.836933606,0.172363852,0.072427393,0.186393824,1.000000000,0.500000000,0.500000000
3.000078216,3.886786762,0.176214533,0.081786829,0.187969883,1.000000000,0.500000000,0.500000000
3.050079805,3.936601464,0.180533594,0.091230562,0.189765970,1.000000000,0.500000000,0.500000000
3.100081347,3.986372896,0.185325122,0.100769825,0.191791297,1.000000000,0.500000000,0.500000000
3.150082858,4.036096059,0.190593722,0.110416340,0.194056050,1.000000000,0.500000000,0.500000000
3.200084357,4.085765749,0.196344536,0.120182361,0.196571453,1.000000000,0.500000000,0.500000000
3.250085872,4.135376531,0.202583264,0.130080737,0.199349855,1.000000000,0.500000000,0.500000000
3.300087433,4.184922709,0.209316193,0.140124964,0.202404808,1.000000000,0.500000000,0.500000000
3.350089080,4.234398295,0.216550219,0.150329249,0.205751165,1.000000000,0.500000000,0.500000000
3.400090863,4.283796975,0.224292876,0.161162817,0.227574550,1.000000000,0.500000000,0.500000000
3.450092637,4.333104345,0.232597136,0.172295709,0.217723710,1.000000000,0.500000000,0.500000000
3.500094254,4.382318234,0.241437656,0.183228981,0.219590792,1.000000000,0.500000000,0.500000000
3.550095723,4.431431945,0.250817969,0.194330536,0.224455835,1.000000000,0.500000000,0.500000000
3.600097106,4.480437204,0.260748874,0.205685460,0.229725735,1.000000000,0.500000000,0.500000000
3.650098483,4.529325154,0.271242017,0.217314682,0.235427227,1.000000000,0.500000000,0.500000000
3.700099958,4.578086292,0.282309940,0.229393786,0.247719576,1.000000000,0.500000000,0.500000000
3.750101560,4.626706725,0.293981004,0.242528965,0.277667883,1.000000000,0.500000000,0.500000000
3.800103105,4.675160381,0.306325951,0.255936135,0.258599347,1.000000000,0.500000000,0.500000000
3.850104391,4.723450115,0.319296308,0.269067876,0.266652160,1.000000000,0.500000000,0.500000000
3.900105582,4.771562537,0.332909316,0.282618122,0.275339452,1.000000000,0.500000000,0.500000000
3.950106896,4.819483107,0.347183432,0.297304188,0.312083366,1.000000000,0.500000000,0.500000000
4.000108166,4.867175066,0.362203554,0.313127272,0.320817819,1.000000000,0.500000000,0.500000000
4.050109309,4.914619834,0.377986719,0.328917380,0.310765794,1.000000000,0.500000000,0.500000000
4.100110276,4.961813467,0.394505124,0.344762282,0.323008740,1.000000000,0.500000000,0.500000000
4.150111486,5.008734395,0.411783648,0.362946935,0.404351946,1.000000000,0.500000000,0.500000000
4.200112571,5.055296299,0.430007197,0.382001896,0.357820102,1.000000000,0.500000000,0.500000000
4.250113264,5.101524355,0.449060701,0.400499383,0.382055423,1.000000000,0.500000000,0.500000000
4.300113998,5.147380053,0.468993801,0.421841995,0.471620828,1.000000000,0.500000000,0.500000000
4.350114655,5.192752913,0.490002591,0.443984394,0.414046242,1.000000000,0.500000000,0.500000000
4.400115092,5.237680939,0.511946065,0.466689767,0.494143567,1.000000000,0.500000000,0.500000000
4.450115064,5.282052719,0.534992592,0.490890865,0.473870125,1.000000000,0.500000000,0.500000000
4.500115302,5.325866261,0.559084030,0.515645893,0.516310546,1.000000000,0.500000000,0.500000000
4.550114844,5.369042722,0.584298062,0.541492570,0.517524274,1.000000000,0.500000000,0.500000000
4.600114943,5.411552815,0.610621092,0.568568783,0.565504026,1.000000000,0.500000000,0.500000000
4.650114208,5.453301009,0.638134994,0.596081200,0.534956236,1.000000000,0.500000000,0.500000000
4.700114259,5.494299047,0.666756069,0.625515962,0.642400839,1.000000000,0.500000000,0.500000000
4.750114078,5.534356561,0.696678929,0.656211000,0.585368918,1.000000000,0.500000000,0.500000000
4.800112593,5.573520209,0.727760438,0.686486948,0.625627924,1.000000000,0.500000000,0.500000000
4.850112335,5.611693496,0.760052455,0.719637933,0.700378317,1.000000000,0.500000000,0.500000000
4.900111652,5.648712414,0.793660956,0.753898669,0.670017099,1.000000000,0.500000000,0.500000000
4.950109451,5.684583749,0.828489497,0.788149176,0.699975426,1.000000000,0.500000000,0.500000000
5.000107298,5.719214433,0.864551949,0.823880088,0.729232195,1.000000000,0.500000000,0.500000000
5.050106169,5.752508146,0.901853634,0.861540573,0.777140039,1.000000000,0.500000000,0.500000000
5.100105479,5.784327874,0.940420925,0.900708042,0.789501774,1.000000000,0.500000000,0.500000000
5.150103856,5.814600130,0.980213238,0.940522876,0.803038673,1.000000000,0.500000000,0.500000000
5.200101276,5.843250089,1.021187887,0.981285148,0.827417455,1.000000000,0.500000000,0.500000000
5.250098126,5.870180529,1.063311947,1.023222391,0.850051301,1.000000000,0.500000000,0.500000000
5.300094636,5.895296619,1.106541949,1.066243371,0.870772748,1.000000000,0.500000000,0.500000000
5.350090959,5.918507226,1.150824000,1.110249248,0.889447189,1.000000000,0.500000000,0.500000000
5.400087241,5.939726171,1.196094129,1.155135379,0.905977390,1.000000000,0.500000000,0.500000000
5.450083670,5.958873395,1.242278831,1.200793315,0.920306651,1.000000000,0.500000000,0.500000000
5.500080524,5.975875995,1.289295817,1.247145503,0.933725566,1.000000000,0.500000000,0.500000000
5.550078116,5.990665959,1.337055802,1.294748828,0.970337704,1.000000000,0.500000000,0.500000000
5.600075461,6.003122089,1.385476659,1.342853300,0.953775808,1.000000000,0.500000000,0.500000000
5.650071612,6.013255489,1.434435103,1.390676974,0.959126716,1.000000000,0.500000000,0.500000000
5.700067064,6.021030135,1.483822350,1.438721454,0.962629686,1.000000000,0.500000000,0.500000000
5.750062484,6.026419597,1.533526432,1.486899176,0.964453738,1.000000000,0.500000000,0.500000000
5.800058681,6.029406873,1.583433304,1.535714540,0.988122509,1.000000000,0.500000000,0.500000000
5.850055276,6.029925733,1.633427206,1.585060778,0.985678549,1.000000000,0.500000000,0.500000000
5.900051389,6.027981013,1.683385482,1.633773952,0.962809471,1.000000000,0.500000000,0.500000000
5.950046888,6.023634483,1.733191683,1.681837075,0.959682420,1.000000000,0.500000000,0.500000000
6.000042866,6.016903877,1.782732543,1.730169852,0.973593496,1.000000000,0.500000000,0.500000000
6.050039443,6.007770395,1.831887779,1.779065517,0.982187633,1.000000000,0.500000000,0.500000000
6.100035827,5.996234885,1.880535187,1.827298760,0.947102526,1.000000000,0.500000000,0.500000000
6.150031582,5.982409603,1.928581386,1.874536474,0.942368612,1.000000000,0.500000000,0.500000000
